NUM_VIAJE,CIUDAD_ORIGEN,CIUDAD_DESTINO,NUM_SILLA,HORA_SALIDA
1061,Cali,Barranquilla,2,0702
1062,Barranquilla,Cartagena,3,0823
1063,Bogotá,Bogotá,4,1731
1064,Cartagena,Bogotá,5,0000
1065,Barranquilla,Cali,6,1511
1066,Barranquilla,Bogotá,7,0855
1067,Medellin,Cartagena,8,2002
1068,Medellin,Cartagena,9,0157
1069,Medellin,Cali,10,1521
1070,Barranquilla,Cali,11,1956
1071,Medellin,Cali,12,1419
1072,Barranquilla,Bogotá,13,0350
1073,Cartagena,Medellin,14,1713
1074,Cartagena,Bogotá,15,0500
1075,Bogotá,Cartagena,16,0120
1076,Medellin,Barranquilla,17,1716
1077,Cartagena,Cartagena,18,0411
1078,Medellin,Cartagena,19,2246
1079,Barranquilla,Bogotá,20,1027
1080,Medellin,Cartagena,1,0113
1081,Cali,Cartagena,2,0323
1082,Barranquilla,Cali,3,1412
1083,Cali,Cali,4,1640
1084,Cali,Cali,5,2240
1085,Cartagena,Cali,6,2312
1086,Barranquilla,Cartagena,7,1324
1087,Barranquilla,Cartagena,8,0724
1088,Cartagena,Barranquilla,9,1217
1089,Cali,Cali,10,1612
1090,Cartagena,Cartagena,11,1814
1091,Cartagena,Medellin,12,0034
1092,Cartagena,Barranquilla,13,2128
1093,Medellin,Cali,14,0252
1094,Cartagena,Cali,15,0454
1095,Cartagena,Barranquilla,16,0239
1096,Cali,Cartagena,17,0957
1097,Cali,Barranquilla,18,1547
1098,Medellin,Bogotá,19,0932
1099,Cartagena,Medellin,20,2019
1100,Cali,Medellin,1,2122
1101,Bogotá,Medellin,2,1634
1102,Cartagena,Bogotá,3,1742
1103,Bogotá,Bogotá,4,0549
1104,Cartagena,Medellin,5,0951
1105,Cartagena,Cali,6,0711
1106,Bogotá,Medellin,7,2007
1107,Medellin,Cali,8,1825
1108,Barranquilla,Barranquilla,9,0932
1109,Cali,Medellin,10,1009
1110,Barranquilla,Barranquilla,11,0038
1111,Barranquilla,Barranquilla,12,0123
1112,Medellin,Cali,13,1551
1113,Cartagena,Cali,14,1541
1114,Bogotá,Bogotá,15,1821
1115,Cali,Medellin,16,0522
1116,Barranquilla,Cartagena,17,2352
1117,Bogotá,Medellin,18,1110
1118,Barranquilla,Barranquilla,19,1933
1119,Medellin,Barranquilla,20,1540
1120,Cartagena,Barranquilla,1,0739
1121,Barranquilla,Medellin,2,0738
1122,Medellin,Medellin,3,1333
1123,Medellin,Bogotá,4,1040
1124,Barranquilla,Medellin,5,0719
1125,Cali,Bogotá,6,2116
1126,Medellin,Bogotá,7,0254
1127,Cali,Cali,8,0837
1128,Barranquilla,Cartagena,9,0442
1129,Bogotá,Medellin,10,1533
1130,Cartagena,Cali,11,2058
1131,Barranquilla,Cartagena,12,0325
1132,Bogotá,Cartagena,13,1358
1133,Cartagena,Medellin,14,0304
1134,Barranquilla,Cartagena,15,1538
1135,Cartagena,Medellin,16,1652
1136,Cali,Bogotá,17,0846
1137,Barranquilla,Cartagena,18,1529
1138,Barranquilla,Barranquilla,19,2048
1139,Cartagena,Cali,20,0009
1140,Bogotá,Bogotá,1,0705
1141,Medellin,Medellin,2,1858
1142,Medellin,Cali,3,2029
1143,Barranquilla,Cartagena,4,1622
1144,Cali,Barranquilla,5,2336
1145,Medellin,Cartagena,6,1151
1146,Cartagena,Bogotá,7,0537
1147,Barranquilla,Bogotá,8,0714
1148,Barranquilla,Barranquilla,9,2253
1149,Bogotá,Bogotá,10,1229
1150,Bogotá,Cartagena,11,1429
1151,Cali,Cali,12,2230
1152,Cartagena,Barranquilla,13,0806
1153,Bogotá,Medellin,14,0843
1154,Medellin,Medellin,15,2025
1155,Medellin,Bogotá,16,0354
1156,Medellin,Medellin,17,1951
1157,Medellin,Medellin,18,0318
1158,Cartagena,Cali,19,2052
1159,Cali,Cali,20,0545
1160,Barranquilla,Medellin,1,1454
1161,Medellin,Cartagena,2,0012
1162,Medellin,Barranquilla,3,0654
1163,Cartagena,Cartagena,4,2142
1164,Medellin,Barranquilla,5,0947
1165,Bogotá,Cartagena,6,1806
1166,Barranquilla,Barranquilla,7,1110
1167,Cartagena,Barranquilla,8,1644
1168,Cali,Bogotá,9,0415
1169,Bogotá,Barranquilla,10,1740
1170,Barranquilla,Cartagena,11,0322
1171,Barranquilla,Barranquilla,12,0855
1172,Medellin,Cali,13,0734
1173,Cartagena,Bogotá,14,1002
1174,Cali,Bogotá,15,0452
1175,Bogotá,Medellin,16,0259
1176,Barranquilla,Barranquilla,17,0122
1177,Medellin,Barranquilla,18,1941
1178,Cartagena,Barranquilla,19,0242
1179,Bogotá,Barranquilla,20,1748
1180,Cali,Medellin,1,0041
1181,Medellin,Cali,2,1408
1182,Bogotá,Cali,3,0026
1183,Cali,Medellin,4,0056
1184,Medellin,Cali,5,0157
1185,Cartagena,Medellin,6,1839
1186,Medellin,Bogotá,7,1441
1187,Cartagena,Cartagena,8,1621
1188,Medellin,Cartagena,9,2305
1189,Medellin,Barranquilla,10,2026
1190,Bogotá,Cali,11,0053
1191,Bogotá,Cali,12,1318
1192,Cali,Bogotá,13,0715
1193,Cartagena,Cali,14,1808
1194,Cartagena,Cartagena,15,1321
1195,Barranquilla,Medellin,16,0319
1196,Cali,Medellin,17,0739
1197,Bogotá,Medellin,18,0524
1198,Cartagena,Cali,19,2017
1199,Cartagena,Cartagena,20,0125
1200,Medellin,Barranquilla,1,1350
1201,Barranquilla,Medellin,2,0050
1202,Cartagena,Barranquilla,3,0511
1203,Barranquilla,Medellin,4,0650
1204,Bogotá,Medellin,5,2002
1205,Cartagena,Cali,6,1459
1206,Bogotá,Barranquilla,7,0534
1207,Bogotá,Medellin,8,1940
1208,Barranquilla,Cali,9,0514
1209,Bogotá,Barranquilla,10,2327
1210,Cartagena,Cali,11,1601
1211,Cali,Barranquilla,12,1517
1212,Cartagena,Medellin,13,2034
1213,Bogotá,Cali,14,0217
1214,Cartagena,Cali,15,2100
1215,Bogotá,Bogotá,16,2150
1216,Cartagena,Cartagena,17,0703
1217,Barranquilla,Barranquilla,18,0903
1218,Bogotá,Cali,19,1900
1219,Cartagena,Cali,20,0311
1220,Bogotá,Cali,1,1503
1221,Cali,Bogotá,2,1430
1222,Medellin,Medellin,3,1415
1223,Barranquilla,Bogotá,4,0305
1224,Barranquilla,Bogotá,5,1501
1225,Cartagena,Cartagena,6,1849
1226,Cali,Barranquilla,7,2243
1227,Medellin,Cali,8,0553
1228,Medellin,Bogotá,9,2307
1229,Medellin,Cali,10,2121
1230,Bogotá,Cali,11,1405
1231,Cartagena,Bogotá,12,2235
1232,Cali,Medellin,13,0243
1233,Barranquilla,Cali,14,0448
1234,Barranquilla,Barranquilla,15,1620
1235,Medellin,Cali,16,1355
1236,Cartagena,Cartagena,17,1550
1237,Medellin,Bogotá,18,2157
1238,Bogotá,Cali,19,0548
1239,Bogotá,Bogotá,20,0834
1240,Medellin,Barranquilla,1,1244
1241,Cali,Cali,2,0237
1242,Medellin,Medellin,3,0632
1243,Bogotá,Cartagena,4,0217
1244,Cali,Cali,5,1423
1245,Cali,Medellin,6,2220
1246,Cartagena,Medellin,7,0807
1247,Medellin,Barranquilla,8,0825
1248,Cali,Cartagena,9,1714
1249,Cali,Bogotá,10,0544
1250,Medellin,Cartagena,11,1609
1251,Medellin,Medellin,12,2306
1252,Barranquilla,Bogotá,13,0904
1253,Cali,Barranquilla,14,2248
1254,Medellin,Bogotá,15,0536
1255,Cali,Bogotá,16,1559
1256,Medellin,Cartagena,17,2315
1257,Bogotá,Cali,18,0324
1258,Cali,Bogotá,19,0740
1259,Cali,Medellin,20,0730
1260,Barranquilla,Cartagena,1,1600
1261,Bogotá,Barranquilla,2,2231
1262,Barranquilla,Cartagena,3,0323
1263,Cartagena,Medellin,4,0536
1264,Medellin,Cartagena,5,1453
1265,Barranquilla,Medellin,6,1013
1266,Cartagena,Bogotá,7,0534
1267,Bogotá,Bogotá,8,1258
1268,Cartagena,Medellin,9,2138
1269,Barranquilla,Medellin,10,1344
1270,Cartagena,Barranquilla,11,1458
1271,Barranquilla,Bogotá,12,2030
1272,Cartagena,Medellin,13,1102
1273,Bogotá,Cali,14,1412
1274,Cali,Cali,15,1241
1275,Cali,Bogotá,16,1753
1276,Cartagena,Barranquilla,17,2323
1277,Medellin,Medellin,18,1902
1278,Cali,Bogotá,19,1507
1279,Bogotá,Bogotá,20,0900
1280,Cartagena,Bogotá,1,0028
1281,Bogotá,Cali,2,0324
1282,Cali,Cali,3,1051
1283,Barranquilla,Cali,4,2305
1284,Barranquilla,Medellin,5,1746
1285,Cartagena,Cartagena,6,0410
1286,Cartagena,Cali,7,1055
1287,Cali,Medellin,8,0147
1288,Barranquilla,Cartagena,9,0923
1289,Medellin,Cartagena,10,2354
1290,Cali,Cali,11,2228
1291,Cartagena,Cartagena,12,1123
1292,Cali,Cali,13,0058
1293,Bogotá,Medellin,14,1049
1294,Cartagena,Cartagena,15,2119
1295,Bogotá,Cali,16,0516
1296,Bogotá,Barranquilla,17,2349
1297,Cali,Cartagena,18,0752
1298,Medellin,Cali,19,0630
1299,Medellin,Barranquilla,20,1106
1300,Barranquilla,Cali,1,1024
1301,Cali,Bogotá,2,1534
1302,Medellin,Bogotá,3,0705
1303,Medellin,Medellin,4,0412
1304,Bogotá,Barranquilla,5,0018
1305,Barranquilla,Cali,6,1735
1306,Cartagena,Medellin,7,1839
1307,Barranquilla,Cali,8,0321
1308,Cali,Barranquilla,9,1830
1309,Barranquilla,Cartagena,10,1714
1310,Bogotá,Cali,11,0551
1311,Medellin,Medellin,12,1049
1312,Cartagena,Cali,13,1842
1313,Bogotá,Barranquilla,14,1548
1314,Cartagena,Cartagena,15,0643
1315,Barranquilla,Barranquilla,16,0454
1316,Medellin,Barranquilla,17,0221
1317,Barranquilla,Cartagena,18,0951
1318,Cartagena,Cartagena,19,0858
1319,Cartagena,Cali,20,2231
1320,Bogotá,Barranquilla,1,0117
1321,Bogotá,Cali,2,1945
1322,Cali,Medellin,3,1619
1323,Cali,Barranquilla,4,0150
1324,Cali,Barranquilla,5,1007
1325,Medellin,Barranquilla,6,1456
1326,Cali,Cali,7,1632
1327,Medellin,Medellin,8,2357
1328,Barranquilla,Bogotá,9,1713
1329,Cartagena,Medellin,10,0245
1330,Barranquilla,Bogotá,11,1713
1331,Barranquilla,Cali,12,1342
1332,Medellin,Cali,13,1637
1333,Cali,Medellin,14,0909
1334,Cartagena,Medellin,15,0151
1335,Barranquilla,Cali,16,1937
1336,Bogotá,Barranquilla,17,1308
1337,Barranquilla,Medellin,18,1739
1338,Bogotá,Barranquilla,19,2054
1339,Bogotá,Cali,20,0602
1340,Bogotá,Cali,1,2158
1341,Barranquilla,Bogotá,2,0456
1342,Cartagena,Cartagena,3,0753
1343,Bogotá,Bogotá,4,1855
1344,Cali,Bogotá,5,0621
1345,Bogotá,Cali,6,1214
1346,Cartagena,Medellin,7,0240
1347,Bogotá,Barranquilla,8,1747
1348,Barranquilla,Barranquilla,9,0157
1349,Bogotá,Cartagena,10,0344
1350,Bogotá,Cartagena,11,0614
1351,Cali,Medellin,12,2005
1352,Cartagena,Medellin,13,0004
1353,Cali,Bogotá,14,0644
1354,Bogotá,Cali,15,2146
1355,Bogotá,Barranquilla,16,0634
1356,Medellin,Barranquilla,17,0600
1357,Cartagena,Cali,18,0851
1358,Barranquilla,Medellin,19,1514
1359,Barranquilla,Bogotá,20,1731
1360,Bogotá,Bogotá,1,1856
1361,Barranquilla,Bogotá,2,0818
1362,Bogotá,Bogotá,3,2159
1363,Medellin,Bogotá,4,0829
1364,Medellin,Cartagena,5,1717
1365,Medellin,Medellin,6,0253
1366,Bogotá,Cartagena,7,0157
1367,Cali,Medellin,8,1014
1368,Medellin,Cali,9,1716
1369,Barranquilla,Cartagena,10,1643
1370,Medellin,Cartagena,11,1936
1371,Bogotá,Cali,12,2247
1372,Bogotá,Cartagena,13,1531
1373,Barranquilla,Bogotá,14,0031
1374,Bogotá,Cartagena,15,1308
1375,Medellin,Medellin,16,1659
1376,Barranquilla,Medellin,17,2321
1377,Barranquilla,Cali,18,1602
1378,Cartagena,Medellin,19,0630
1379,Barranquilla,Barranquilla,20,0523
1380,Cali,Cartagena,1,0526
1381,Cali,Bogotá,2,1650
1382,Barranquilla,Bogotá,3,1251
1383,Barranquilla,Bogotá,4,1919
1384,Barranquilla,Bogotá,5,2320
1385,Medellin,Bogotá,6,1444
1386,Medellin,Cartagena,7,1759
1387,Barranquilla,Cali,8,1547
1388,Bogotá,Bogotá,9,0613
1389,Cali,Bogotá,10,1131
1390,Barranquilla,Bogotá,11,1223
1391,Medellin,Bogotá,12,1537
1392,Medellin,Bogotá,13,1800
1393,Medellin,Bogotá,14,1933
1394,Cali,Cartagena,15,1035
1395,Barranquilla,Bogotá,16,0809
1396,Medellin,Cali,17,2228
1397,Cartagena,Barranquilla,18,0155
1398,Cali,Medellin,19,1732
1399,Barranquilla,Cali,20,1213
1400,Cali,Bogotá,1,2243
1401,Medellin,Bogotá,2,1708
1402,Barranquilla,Cartagena,3,2059
1403,Barranquilla,Barranquilla,4,0903
1404,Cali,Cartagena,5,0644
1405,Bogotá,Cali,6,0407
1406,Barranquilla,Medellin,7,0431
1407,Medellin,Bogotá,8,1650
1408,Cali,Cali,9,0507
1409,Cali,Medellin,10,0848
1410,Cali,Cartagena,11,1719
1411,Bogotá,Bogotá,12,1051
1412,Bogotá,Medellin,13,1759
1413,Cali,Cali,14,0143
1414,Bogotá,Bogotá,15,0336
1415,Barranquilla,Cartagena,16,0032
1416,Barranquilla,Cali,17,1108
1417,Barranquilla,Cali,18,0429
1418,Cali,Bogotá,19,0007
1419,Cali,Cali,20,1008
1420,Barranquilla,Medellin,1,2313
1421,Cartagena,Cartagena,2,0042
1422,Medellin,Medellin,3,0145
1423,Bogotá,Bogotá,4,1014
1424,Medellin,Medellin,5,2002
1425,Medellin,Barranquilla,6,1105
1426,Bogotá,Cali,7,0644
1427,Barranquilla,Cartagena,8,1626
1428,Cali,Cartagena,9,0029
1429,Bogotá,Barranquilla,10,0548
1430,Cali,Barranquilla,11,2220
1431,Cali,Cartagena,12,1814
1432,Cartagena,Medellin,13,2310
1433,Bogotá,Medellin,14,0619
1434,Cartagena,Cartagena,15,2251
1435,Cartagena,Cali,16,1802
1436,Cartagena,Cali,17,0036
1437,Barranquilla,Cali,18,0644
1438,Cali,Cali,19,2048
1439,Cartagena,Cartagena,20,2115
1440,Medellin,Cartagena,1,0505
1441,Bogotá,Bogotá,2,0803
1442,Barranquilla,Medellin,3,2322
1443,Cali,Medellin,4,0452
1444,Cartagena,Barranquilla,5,1024
1445,Barranquilla,Cartagena,6,0341
1446,Cartagena,Bogotá,7,2149
1447,Cali,Cartagena,8,0403
1448,Barranquilla,Bogotá,9,1917
1449,Cali,Bogotá,10,0409
1450,Bogotá,Bogotá,11,1604
1451,Bogotá,Barranquilla,12,0645
1452,Cartagena,Bogotá,13,0747
1453,Cali,Barranquilla,14,1354
1454,Cali,Cartagena,15,1854
1455,Bogotá,Cartagena,16,1837
1456,Cartagena,Medellin,17,1753
1457,Medellin,Bogotá,18,1410
1458,Barranquilla,Cartagena,19,1449
1459,Cartagena,Cartagena,20,1829
1460,Bogotá,Bogotá,1,0735
1461,Cali,Cali,2,0037
1462,Bogotá,Cartagena,3,1347
1463,Barranquilla,Medellin,4,1032
1464,Cartagena,Cali,5,1846
1465,Cartagena,Cali,6,0934
1466,Cali,Cartagena,7,1448
1467,Medellin,Medellin,8,0016
1468,Cartagena,Cartagena,9,1925
1469,Barranquilla,Barranquilla,10,2050
1470,Barranquilla,Barranquilla,11,2140
1471,Barranquilla,Bogotá,12,1353
1472,Bogotá,Cartagena,13,1716
1473,Bogotá,Cali,14,1938
1474,Cali,Cartagena,15,0954
1475,Barranquilla,Barranquilla,16,0333
1476,Bogotá,Cartagena,17,1117
1477,Bogotá,Cartagena,18,2014
1478,Medellin,Bogotá,19,0212
1479,Barranquilla,Medellin,20,0225
1480,Bogotá,Cartagena,1,0410
1481,Medellin,Barranquilla,2,2139
1482,Cali,Bogotá,3,0519
1483,Medellin,Bogotá,4,0635
1484,Barranquilla,Bogotá,5,1852
1485,Medellin,Bogotá,6,0906
1486,Barranquilla,Barranquilla,7,0503
1487,Medellin,Barranquilla,8,0339
1488,Medellin,Medellin,9,1046
1489,Barranquilla,Bogotá,10,0557
1490,Medellin,Barranquilla,11,0430
1491,Cali,Medellin,12,1750
1492,Cali,Cali,13,1414
1493,Medellin,Medellin,14,1249
1494,Cali,Barranquilla,15,1404
1495,Cali,Cartagena,16,1146
1496,Barranquilla,Cartagena,17,0112
1497,Medellin,Cali,18,0710
1498,Barranquilla,Cartagena,19,0735
1499,Cali,Cartagena,20,1621
1500,Bogotá,Medellin,1,1922
1501,Cali,Cali,2,0359
1502,Barranquilla,Barranquilla,3,0001
1503,Bogotá,Bogotá,4,1321
1504,Cartagena,Bogotá,5,1257
1505,Bogotá,Barranquilla,6,0242
1506,Bogotá,Cartagena,7,0503
1507,Cali,Medellin,8,0253
1508,Bogotá,Cartagena,9,2230
1509,Bogotá,Bogotá,10,0635
1510,Cartagena,Barranquilla,11,1705
1511,Bogotá,Bogotá,12,1520
1512,Barranquilla,Cali,13,1249
1513,Cartagena,Bogotá,14,1337
1514,Cartagena,Bogotá,15,1358
1515,Barranquilla,Cartagena,16,1426
1516,Cartagena,Cartagena,17,0938
1517,Cali,Medellin,18,0252
1518,Cartagena,Barranquilla,19,0052
1519,Barranquilla,Bogotá,20,1036
1520,Barranquilla,Cali,1,1606
1521,Cartagena,Cali,2,0626
1522,Medellin,Bogotá,3,2241
1523,Barranquilla,Medellin,4,0425
1524,Medellin,Bogotá,5,1603
1525,Bogotá,Cartagena,6,0344
1526,Barranquilla,Cali,7,0134
1527,Cali,Medellin,8,1103
1528,Cali,Cartagena,9,1508
1529,Barranquilla,Cartagena,10,0505
1530,Cartagena,Medellin,11,1815
1531,Cartagena,Medellin,12,0018
1532,Bogotá,Cali,13,0815
1533,Bogotá,Cartagena,14,1342
1534,Barranquilla,Bogotá,15,1439
1535,Medellin,Bogotá,16,1816
1536,Cartagena,Medellin,17,0303
1537,Bogotá,Cartagena,18,0245
1538,Medellin,Barranquilla,19,0515
1539,Cali,Barranquilla,20,0451
1540,Medellin,Barranquilla,1,1449
1541,Bogotá,Cali,2,0803
1542,Cali,Cali,3,1900
1543,Bogotá,Medellin,4,0527
1544,Cali,Cartagena,5,1019
1545,Cali,Bogotá,6,0823
1546,Medellin,Medellin,7,0059
1547,Bogotá,Barranquilla,8,1509
1548,Medellin,Barranquilla,9,0403
1549,Cali,Bogotá,10,0615
1550,Barranquilla,Medellin,11,0135
1551,Bogotá,Cali,12,1218
1552,Medellin,Cali,13,0150
1553,Cartagena,Cali,14,1103
1554,Barranquilla,Cartagena,15,0030
1555,Barranquilla,Medellin,16,1106
1556,Cali,Bogotá,17,1746
1557,Medellin,Barranquilla,18,0912
1558,Cali,Bogotá,19,1435
1559,Medellin,Cartagena,20,0022
1560,Bogotá,Cartagena,1,0143
1561,Bogotá,Bogotá,2,1550
1562,Barranquilla,Bogotá,3,1348
1563,Cartagena,Bogotá,4,0748
1564,Bogotá,Medellin,5,1541
1565,Cartagena,Barranquilla,6,1355
1566,Cartagena,Cartagena,7,1710
1567,Barranquilla,Cartagena,8,2224
1568,Bogotá,Cali,9,0414
1569,Barranquilla,Cartagena,10,2209
1570,Medellin,Cartagena,11,1122
1571,Cali,Medellin,12,1900
1572,Medellin,Medellin,13,0112
1573,Cali,Medellin,14,0039
1574,Medellin,Medellin,15,2313
1575,Cali,Cartagena,16,1443
1576,Bogotá,Barranquilla,17,1854
1577,Medellin,Barranquilla,18,0419
1578,Bogotá,Barranquilla,19,2118
1579,Barranquilla,Medellin,20,1315
1580,Bogotá,Cali,1,2315
1581,Cartagena,Medellin,2,1417
1582,Medellin,Cali,3,0424
1583,Bogotá,Cali,4,0916
1584,Bogotá,Cartagena,5,1333
1585,Bogotá,Barranquilla,6,2252
1586,Barranquilla,Barranquilla,7,2233
1587,Barranquilla,Barranquilla,8,1502
1588,Cali,Cali,9,0220
1589,Cartagena,Barranquilla,10,0021
1590,Medellin,Bogotá,11,1544
1591,Medellin,Cali,12,1135
1592,Cali,Medellin,13,0242
1593,Barranquilla,Medellin,14,1038
1594,Barranquilla,Bogotá,15,1718
1595,Bogotá,Cali,16,2319
1596,Bogotá,Barranquilla,17,0447
1597,Cartagena,Cartagena,18,0650
1598,Barranquilla,Bogotá,19,0921
1599,Bogotá,Barranquilla,20,2333
1600,Cartagena,Medellin,1,1427
1601,Medellin,Cartagena,2,0853
1602,Medellin,Barranquilla,3,1837
1603,Medellin,Medellin,4,1853
1604,Medellin,Cali,5,0421
1605,Medellin,Cali,6,2142
1606,Cali,Cartagena,7,1710
1607,Bogotá,Bogotá,8,1743
1608,Barranquilla,Cali,9,0932
1609,Cali,Bogotá,10,1400
1610,Cartagena,Medellin,11,0507
1611,Bogotá,Bogotá,12,0153
1612,Cali,Barranquilla,13,2228
1613,Cali,Barranquilla,14,2016
1614,Bogotá,Medellin,15,2304
1615,Bogotá,Barranquilla,16,0903
1616,Bogotá,Bogotá,17,1718
1617,Barranquilla,Bogotá,18,1833
1618,Barranquilla,Bogotá,19,0610
1619,Barranquilla,Cali,20,0648
1620,Medellin,Medellin,1,0329
1621,Barranquilla,Cali,2,0846
1622,Cali,Barranquilla,3,1634
1623,Cali,Cartagena,4,0808
1624,Medellin,Cartagena,5,0202
1625,Medellin,Cali,6,1309
1626,Cali,Medellin,7,0840
1627,Barranquilla,Bogotá,8,0112
1628,Cali,Medellin,9,0636
1629,Bogotá,Cartagena,10,0515
1630,Bogotá,Barranquilla,11,0612
1631,Bogotá,Bogotá,12,0203
1632,Cali,Medellin,13,0418
1633,Medellin,Cali,14,1715
1634,Cali,Cartagena,15,0525
1635,Medellin,Cali,16,1159
1636,Cartagena,Medellin,17,0813
1637,Cali,Barranquilla,18,1142
1638,Medellin,Barranquilla,19,2125
1639,Cartagena,Cartagena,20,2131
1640,Cali,Bogotá,1,1148
1641,Barranquilla,Medellin,2,2324
1642,Cartagena,Medellin,3,1612
1643,Barranquilla,Cali,4,0922
1644,Cali,Barranquilla,5,0212
1645,Cali,Bogotá,6,0408
1646,Cali,Cartagena,7,0650
1647,Medellin,Barranquilla,8,1243
1648,Bogotá,Barranquilla,9,1401
1649,Medellin,Barranquilla,10,0348
1650,Cali,Bogotá,11,1006
1651,Medellin,Cali,12,0222
1652,Cali,Barranquilla,13,1834
1653,Barranquilla,Cartagena,14,0043
1654,Medellin,Medellin,15,0338
1655,Cali,Medellin,16,2324
1656,Medellin,Medellin,17,1813
1657,Medellin,Medellin,18,1503
1658,Cali,Bogotá,19,1314
1659,Medellin,Medellin,20,0820
1660,Bogotá,Bogotá,1,2141
1661,Cali,Medellin,2,1432
1662,Cartagena,Barranquilla,3,0124
1663,Barranquilla,Cali,4,0952
1664,Barranquilla,Cali,5,0135
1665,Cali,Barranquilla,6,0712
1666,Barranquilla,Cali,7,0145
1667,Cartagena,Cali,8,2257
1668,Medellin,Barranquilla,9,0122
1669,Barranquilla,Bogotá,10,1904
1670,Barranquilla,Cali,11,1053
1671,Barranquilla,Cartagena,12,1440
1672,Medellin,Cartagena,13,0013
1673,Barranquilla,Medellin,14,2245
1674,Cartagena,Cartagena,15,1227
1675,Barranquilla,Cartagena,16,1156
1676,Bogotá,Bogotá,17,1623
1677,Barranquilla,Barranquilla,18,0231
1678,Cali,Medellin,19,1815
1679,Cartagena,Bogotá,20,2010
1680,Cali,Medellin,1,1048
1681,Bogotá,Medellin,2,0314
1682,Barranquilla,Medellin,3,0013
1683,Medellin,Barranquilla,4,0837
1684,Barranquilla,Cartagena,5,0803
1685,Barranquilla,Cartagena,6,0917
1686,Barranquilla,Medellin,7,0201
1687,Medellin,Barranquilla,8,1627
1688,Barranquilla,Barranquilla,9,1916
1689,Cali,Medellin,10,0935
1690,Cartagena,Barranquilla,11,0112
1691,Bogotá,Barranquilla,12,1229
1692,Medellin,Cali,13,2315
1693,Cartagena,Cali,14,1131
1694,Cali,Bogotá,15,0337
1695,Cartagena,Cali,16,2112
1696,Bogotá,Bogotá,17,0709
1697,Cali,Cartagena,18,1920
1698,Barranquilla,Barranquilla,19,1048
1699,Medellin,Cali,20,0708
1700,Medellin,Bogotá,1,0041
1701,Cartagena,Cartagena,2,1449
1702,Medellin,Cartagena,3,1113
1703,Barranquilla,Cartagena,4,1034
1704,Barranquilla,Cali,5,0935
1705,Barranquilla,Barranquilla,6,1326
1706,Bogotá,Barranquilla,7,0512
1707,Barranquilla,Cartagena,8,1648
1708,Medellin,Bogotá,9,2208
1709,Cartagena,Cartagena,10,2334
1710,Medellin,Cali,11,2321
1711,Cali,Bogotá,12,0729
1712,Bogotá,Barranquilla,13,1307
1713,Bogotá,Barranquilla,14,0735
1714,Medellin,Cartagena,15,1912
1715,Cartagena,Cartagena,16,0823
1716,Cartagena,Cali,17,1507
1717,Medellin,Medellin,18,0642
1718,Cartagena,Cali,19,0239
1719,Cali,Cali,20,0917
1720,Barranquilla,Bogotá,1,1715
1721,Cali,Cali,2,0444
1722,Medellin,Cali,3,2103
